,Training Sharpe,Test Cumulative Return,Test CAGR,Test Volatility,Test Sharpe,Max Drawdown,Mean 40D Rolling Sharpe,Initial Turnover,Training Time (sec)
SNN,2.4021639823913574,0.5291452273992725,0.23000075735026781,0.14521963159534507,1.4988944769374535,-0.16734921962106275,1.566795301483876,1.1629149718396365,2.628965377807617
ANN,2.7001590728759766,0.3136062092416567,0.14220271639379334,0.15530226605548017,0.9340494529377775,-0.23696106371457915,0.8723738413989942,1.2384339526146504,0.5928423404693604
Equal Weight,,0.5670161181581022,0.244755815781728,0.12299864530777183,1.842359188874184,-0.14303672517611143,1.9527509775217122,0.0,
